"question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"Which scholar described the interconnectedness of the world economy as the 'forefront marker of globalization'?","Angrist et al.","Balaam and Veseth","Held and McGrew","Kurtonov (2020)","D","Kurtonov (2020) described the interconnectedness of the world economy as the forefront marker of globalization — the meeting point of developed and developing economies."
"In the Toyota example which countries are cited where Toyota MANUFACTURES auto parts?","Singapore and Malaysia","Thailand and Vietnam","Germany and Japan","Philippines and Indonesia","D","Toyota manufactures auto parts in the Philippines and Indonesia due to high availability of cheap manpower then offers finished products in Singapore and Malaysia where demand is higher."
"What does Thailand have as its key economic strength?","Minerals and mining","Oil and petroleum","High production output of rice","BPO and telecommunications","C","Thailand is cited for its high production output of rice — different from the Philippines despite similar topography and environmental conditions."
"In a pure Market Economy who determines economic decisions?","The central planning body","Private individuals through supply and demand","A coalition of businesses and the government","Government ministries","B","In a pure Market Economy the decision-making of private individuals is the determinant. Economic activities are based on interaction of supply and demand — not planned by any single person or group."
"Which of the following is an advantage of a Market Economy?","Encourages producers to innovate products for market comfort and satisfaction","Government-directed innovation","Eliminates competition among businesses","Equal distribution of wealth","A","Innovation is an advantage of the Market Economy — it encourages competing producers to develop items that provide comfort and satisfaction to the market."
"What is the PRIMARY objective of a Command Economy?","To maximize innovation and competition","To mobilize resources for the common good and interest of the nation","To reduce the role of government in economic activity","To attract foreign direct investment","B","The objective of a Command Economy is to mobilize resources for the common good of the public and the interest of the nation — though it involves abolition of private ownership."
"Which of the following is a cited PROBLEM of a Command Economy?","Excessive competition between firms","Over-reliance on foreign direct investment","Unregulated consumer behavior","Limited production faulty decisions and weak domestic investments","D","Problems of a Command Economy include limited production faulty decisions and weak domestic investments — resulting from centralized control with no private economic freedom."
"The United States Great Britain and France are examples of which economic system?","Market Economy","Mixed Economy","Transitional Economy","Command Economy","B","The United States Great Britain and France are cited as examples of Mixed Economies — market-driven economies that combine market and command systems of economic planning."
"During which crisis did the American government take over collapsing financial corporations?","The Dot-com crash of 2000","The 2008-2009 financial crisis","The Great Depression of 1929","The 1997 Asian financial crisis","B","The 2008-2009 financial crisis is cited. When the American market was hit the government took over some collapsing financial corporations — an example of Mixed Economy intervention (Mizruchi 2010)."
"What organization preceded the WTO in governing international trade?","ASEAN Economic Community","Bretton Woods Institution","General Agreement on Tariffs and Trade (GATT)","North American Free Trade Agreement","C","GATT preceded the WTO. It was formed after World War II and trade rules developed through a series of rounds or meetings of member economies."
"According to Balaam and Veseth (2008) what is International Trade?","The flow of foreign direct investments across borders","The process when goods commodities and services cross national economies in exchange for money or goods of another country","The movement of TNCs from developed to developing economies","The formation of multilateral institutions to govern economic policy","B","Balaam and Veseth (2008) define International Trade as the process and system when goods commodities and services cross national economies and boundaries in exchange for money or goods of another country."
"What does 'laissez-faire' mean in the context of Descriptive Trade Theory?","Government control of all trade","Leave alone — individuals are the best economic agents through the invisible hand","Trade governed by colonial powers","Free trade restricted by international bodies","B","Laissez-faire is a French term meaning 'leave alone' — referring to the notion that individuals are the best economic agents to solve problems through the invisible hand rather than government policies."
"What does Prescriptive Trade Theory primarily address?","How individuals choose which goods to trade","How MNCs expand across national borders","Which countries should join regional economic blocs","Whether the government should interfere and restrict the movement of goods and services","D","Prescriptive Trade Theory prescribes whether the government should interfere and restrict the movement of goods and services — addressing the pressing question of whether government should control trade."
"David Ricardo's Law of Comparative Advantage is derived from which principle?","Invisible hand and laissez-faire","Mercantilism and colonial rule","Specialization and division of labor","Command economy and state planning","C","Ricardo's Law of Comparative Advantage is derived from the principle of specialization and division of labor (Nau 2009) — explaining that free trade efficiency is attainable when countries specialize in their strengths."
"Who are identified as key critics of Economic Liberalism who stressed the need for government control?","David Ricardo and Adam Smith","Woodrow Wilson and Hugh Ruggie","Immanuel Wallerstein and Baran","Alexander Hamilton and Friedrich List","D","Alexander Hamilton and Friedrich List are identified as key critics of Economic Liberalism who stressed the need for a government and economic body to control and oversee the operation of the economy."
"What time period does Mercantilism refer to?","1500-1800","1800-1950","1950-2000","1492-1800","A","Mercantilism is an economic theory that emerged from about 1500-1800 during the emerging eras of nation-states and the formation of more central governments."
"Under Mercantilism why did colonial powers want higher exports than imports?","To develop the domestic consumer market","To support trade objectives and strengthen colonial rule and possessions","To lower the cost of production","To attract foreign direct investment","B","Governments imposed restrictions requiring higher exports than imports to support their trade objectives and strengthen their colonial rule and possessions — a core mercantilist mechanism."
"Who developed the Modern World System (MWS) Theory?","Baran","Immanuel Wallerstein","Nau","Balaam and Veseth","B","Immanuel Wallerstein developed the Modern World System (MWS) Theory which explains the contact of economies between core semi-peripheral and peripheral countries."
"In the Modern World System which region became the PERIPHERY economy?","Eastern Europe","Mediterranean Europe","South Asia","Northwest Europe","A","Eastern Europe became the periphery economy — heavily exporting agricultural products to the core. Northwest Europe was the core and Mediterranean Europe was the semi-periphery."
"What role did Mediterranean Europe play in the Modern World System?","Core — absolute advantage over others","Periphery — exported agricultural products","Semi-periphery — intermediary using labor-intensive industry","Emerging market — transitioning to core","C","Mediterranean Europe served as the semi-periphery — acting as an intermediary between core and periphery using its labor-intensive industry."
"Which of the six reasons for international trade involves lowering production cost by expanding the global market?","Reduction of Risk","Use of Excess Capacity in Demand","Cheaper Supplies","Cost Reduction and Increase of Profit","D","Cost Reduction and Increase of Profit involves a market leader gaining lower production cost by increasing its global market rather than domestically — enabling increased profit while reducing costs."
"Which reason for international trade is described as an alternative for countries vulnerable to supply shortages?","Cheaper Supplies","Addition to Product Line","Reduction of Risk","Foreign Policy Tool","C","Reduction of Risk is the reason — importing products is seen as an alternative for countries vulnerable to supply shortages to confront demand and supply conditions of the local market."
"Which policy is described as the record of all foreign transactions by an economy each year?","Balance of Payments under Trade Policy","Exchange Rate Policy","Macroeconomic Policy","Foreign Capital Investment Policy","A","Balance of Payments (BoP) is the record of all foreign transactions by an economy each year — it falls under Trade Policy and is an ideal criterion for identifying a country's international economic status."
"Monetary policy is a decision of which institution?","The legislature","The central bank","The World Bank","The ministry of trade","B","Monetary policy is a decision of the central bank to change the money supply to influence interest rates with the goal of managing price stability and full employment."
"What does Fiscal Policy focus on?","Interest rates and money supply","Consumer behavior and price control","Currency rules of the domestic market","Government's revenue and expenditures","D","Fiscal Policy focuses on the government's revenue and expenditures — representing national economic activities where the government concentrates on cutting expenses to avoid budget deficits."
"Which policy involves price control monitoring consumer behavior and private firms' operations?","Microeconomic Policy","Governance Policy","Exchange Rate Policy","Macroeconomic Policy","A","Microeconomic Policies are government policies that provide precautionary measures in price control monitoring consumer behavior and private firms' operations."
"Which policy is most sensitive to US dollar fluctuations for developing countries?","Exchange Rate Policy","Migration Policy","Foreign Capital Investment Policy","Trade Policy","A","Exchange Rate Policy is described as highly sensitive for developing countries. Every time the dollar fluctuates local currency is inversely affected."
"What is Foreign Direct Investment (FDI)?","The movement of goods across national borders","When a firm purchases or invests directly in facilities like factories stores or warehouses to produce in a foreign country","The licensing of intellectual property to foreign companies","The issuance of government bonds to foreign buyers","B","FDI occurs when a firm purchases or invests directly in facilities like factories stores or warehouses for the purpose of producing or marketing a product in a foreign country."
"Why did the term 'MNC' evolve into 'Transnational Corporation (TNC)'?","MNCs were dissolved after Globalization 2.0","MNCs became government-owned entities","Because of the magnitude of global production and networks making TNC the more acceptable name","TNC refers only to Asian corporations","C","Because of the magnitude of global production and networks the term Transnational Corporation (TNC) became the more acceptable name for firms operating in regional or global markets."
"What geographic pattern do many TNCs follow?","Operating primarily in developed northern economies","From the north and west operating in the south where cheap labor and raw materials are available","From south to north following talent migration","From east to west following consumer demand","B","A number of TNCs from the north and west have business operations in the south where cheap labor and raw materials are available — reflecting the structural global economic pattern."
"In 2000 General Motors' sales were compared to the GDP of which country?","Pakistan","South Korea","Switzerland","Denmark","D","According to the World Bank Development Report (2000) General Motors' sales in 2000 were almost the same as the GDP of Denmark — illustrating the immense economic power of TNCs."
"Sony's 2000 sales exceeded the GDP of which country?","Denmark","Pakistan","Bangladesh","India","B","Sony's 2000 sales exceeded Pakistan's GDP of roughly 59.9 billion dollars — demonstrating that some TNCs rival the economic output of entire nations."
"According to Fortune 2023 Global 500 which company ranked #1 by annual revenue?","Wal-Mart Stores","Amazon","Apple","Saudi Aramco","A","Wal-Mart Stores ranked #1 in the Fortune 2023 Global 500 with 638785 million dollars in revenue. It topped the list for four consecutive years."
"Which company ranked #3 in the Fortune 2023 Global 500?","State Grid","Sinopec","Amazon","China National Petroleum","A","State Grid — a Chinese government power company — ranked 3rd and remains China's top revenue generator company."
"Which was the ONLY European firm in the Fortune 2023 Global 500 Top 10?","Apple","Exxon Mobil","Shell Corporation","Amazon","C","Shell Corporation — a British company — was the only European firm in the Fortune 2023 Global 500 Top 10 ranking at 9th place."
"What is the primary consideration of regional economic integrations?","Political alignment among member states","Military security commitments","Free trade among member economies","Shared cultural identity","C","Free trade is the primary consideration of regional economic integrations — designed to address and enhance the level of competitiveness of member economies in trade."
"In a Free Trade Area (FTA) what happens to EXTERNAL tariffs?","They are also reduced to zero","They are eliminated only for developing members","They are standardized across all members","Member economies retain their different external tariffs","D","In a Free Trade Area internal tariffs are reduced to zero for member economies BUT each member retains its different external tariffs — distinguishing FTA from deeper integration models."
"How do Anti-FTA critics describe this transnational market system?","As complex and difficult to manage due to its win-win and win-lose approach","As a purely political arrangement with no economic benefit","As effective only for large developed economies","As a fair and equitable system for all members","A","Anti-FTAs describe the system as complex and difficult to manage because of its win-win and win-lose approach — where some countries win through trade dominance while others become free riders."
"What term is used for countries that depend on stronger FTA members' benefits without being competitive?","Periphery states","Semi-periphery","Emerging markets","Free riders","D","Countries that do NOT have the necessary materials logistics or systems to compete end up depending on the benefits of other countries and become 'free riders' in the FTA structure."
"AEC and APEC belong to which regional grouping?","Asia and Pacific","Latin America and Caribbean","Middle East and North Africa","Western Region","A","AEC and APEC are listed under the Asia and Pacific regional economic blocs. European Union and NAFTA are listed under the Western Region."
"In what year was GATT replaced by the WTO?","1990","1993","1999","1995","D","In 1995 GATT was replaced and succeeded by the World Trade Organization (WTO). GATT had served as the main umbrella for economic liberalization since after World War II."
"Where is the WTO headquartered?","New York USA","Brussels Belgium","Geneva Switzerland","Washington DC USA","C","The WTO is based in Geneva Switzerland. It is led by a director general selected by consensus among its members."
"As of 2008 how many members did the WTO have and what share of world trade did they account for?","151 members — 90% of world trade","164 members — 95% of world trade","189 members — 99% of world trade","100 members — 75% of world trade","A","As of 2008 the WTO had 151 members accounting for 90% of the world's trade. The WTO operates on a one country-one vote consensus basis."
"What is a major criticism of the WTO's voting system?","It operates on one country-one vote regardless of economic size or trade share making decisions political","It allows only developed countries to vote","It operates on a quota system based on economic size","It gives veto power to the five permanent members","A","A major criticism is that the WTO operates on one country-one vote — NOT based on quota system economic size or share in world trade — making its decisions highly political."
"What was the 'Battle of Seattle' a rallying cry against?","The formation of GATT","The dominance of the US dollar","The policies of the World Bank","Globalization and the WTO by civil society organizations","D","The 'Battle of Seattle' became a rallying cry by civil society organizations against globalization and the WTO — expressing concerns about human rights abuses and monopoly of large enterprises."
"What is the official full name of the World Bank?","International Economic Development Fund","Bretton Woods Financial Corporation","International Bank for Reconstruction and Development","Global Development and Investment Bank","C","The official name of the World Bank is the International Bank for Reconstruction and Development (IBRD). It was formed by the Bretton Woods agreement in 1944."
"How many member countries does the World Bank have and in how many countries does it operate?","151 members operating in 120 countries","194 members operating in 150 countries","165 members operating in 100 countries","189 members operating in 130 countries","D","The World Bank has 189 member countries and operates in 130 countries worldwide. It was formed by the Bretton Woods agreement in 1944."
"Which World Bank agency focuses on poor and third-world economies through financial assistance and loan programs?","International Finance Corporation","Multilateral Investment Guarantee Agency","International Development Association","International Settlement Centre of Investment Disputes","C","The International Development Association (IDA) is the World Bank agency that focuses on poor and third-world economies by providing financial assistance and loan programs."
"Which is a criticism of the World Bank according to Nau (2009)?","It has too many member countries to function","It concentrates on macro-scale projects while excluding micro and small projects affecting communities","It operates through a weighted voting system","Its decisions are made by the UN Security Council","B","Nau (2009) criticizes that the World Bank concentrates on macro-scale projects where micro and small projects affecting the lives of communities are excluded and not given proper attention."
"How does the IMF's voting system DIFFER from the WTO's?","IMF uses one country-one vote; WTO uses weighted voting","Both use weighted voting based on trade share","IMF uses Security Council-style veto power","IMF uses weighted voting based on contributions; WTO uses one country-one vote","D","The IMF operates through a weighted voting basis controlled by dominant contributors. The US holds the highest percentage. The WTO uses one country-one vote consensus."
"Which country holds the highest percentage of votes in the IMF?","France","Japan","United States","Great Britain","C","The United States holds the highest percentage of votes in the IMF's weighted voting system followed by Japan France and Great Britain."
"What are the THREE main responsibilities of the IMF?","Providing loans financing reconstruction and regulating trade","Supervising the exchange rate system providing loan programs and reviewing domestic monetary policies","Regulating FDI managing balance of payments and issuing global bonds","Setting tariffs monitoring TNCs and managing the global currency","B","The IMF's three main responsibilities are supervising the exchange rate system providing loan programs to economies experiencing balance of payments adjustments and reviewing domestic monetary policies."
"What criticism of the IMF's decision-making did civil society groups raise?","That it is biased toward developing countries","That it favors the most powerful economies and bars at-risk countries from influencing decisions affecting their own economies","That it has too few member countries","That it excludes private firms from governance","B","Civil society groups assert that the IMF's decision-making mechanism favors the most powerful economies and bars countries at risk of financial instability from influencing decisions (von Bernstorff 2021)."
"In what year was the European Union founded and under what original name?","1945 as the European Economic Zone","1963 as the Common Market","1973 as the European Trade Bloc","1958 as the European Economic Community (EEC)","D","The EU was founded in 1958 as the European Economic Community (EEC) by six founding countries: Belgium Germany France Italy Luxembourg and the Netherlands."
"Which of the following is NOT one of the six core values of the EU?","Human dignity","Democracy","Rule of law","Sovereignty","D","The six core values of the EU are Human dignity Freedom Democracy Equality Rule of law and Human rights. Sovereignty is not listed as one of the EU's core values."
"For what achievement was the EU awarded the 2012 Nobel Peace Prize?","Promoting peace and reconciliation in Europe","Creating the single market for free trade","Expanding membership to Eastern European nations","Establishing the Euro as a global currency","A","The EU was awarded the 2012 Nobel Peace Prize recognizing its efforts in the promotion of peace and reconciliation in Europe."
"How many EU citizens in how many countries use the Euro?","Over 200 million in 15 countries","Over 400 million in 22 countries","Over 340 million in 19 countries","Over 280 million in 17 countries","C","Over 340 million EU citizens in 19 countries use the Euro as the official currency of the EU."
"What is the EU's 'single market' described as?","A customs union charging uniform external tariffs","A common investment fund for member economies","A monetary authority managing the Euro exchange rate","A venue where goods and services move freely among members without restrictions and barriers","D","The EU's main economic engine is the single market — where goods and services can move freely among its members without restrictions and barriers."
"Which country is the NEWEST member of the EU?","Croatia","Romania","Cyprus","Bulgaria","A","Croatia is the newest member-economy of the EU joining in 2013. Bulgaria and Romania joined in 2007."
"In which year did the largest wave of new EU members join adding 10 countries?","1995","2007","2013","2004","D","The largest wave of EU expansion occurred in 2004 when 10 countries joined including Cyprus Czech Republic Estonia Hungary Latvia Lithuania Malta Poland Slovakia and Slovenia."
"Which term does Kearney (1995) prefer over both 'globalization' and 'westernization'?","Transnationalization","Multilateralism","Modernization","Internationalization","A","Kearney (1995) argues the world is neither westernization nor globalization and prefers the term 'transnationalization' — when people or groups transcend from one nation to the next."
"Condoleezza Rice described the Bush Doctrine as which of the following?","Pragmatic realism","Idealist multilateralism","Neoconservative unilateralism","Liberal institutionalism","A","Condoleezza Rice described the Bush Doctrine as 'pragmatic realism' — supporting the Realist view that political-military power drives globalization including the spread of liberal democracy."
"What does globalization's association with 'Westernization and Americanization' stem from?","The dominance of American military bases globally","The Western intensification of its economy","The United States' membership in international organizations","The spread of the English language worldwide","B","The reviewer states that globalization is sometimes associated with Westernization and Americanization because of the Western intensification of its economy."
"Which invention is NOT listed as a key feature of Globalization 1.0?","Steam engine","Internet","Railway system","Printing press","B","Globalization 1.0 (1492-1800) featured the steam engine printing press and railway system. The internet is a key feature of Globalization 3.0."
"Woodrow Wilson is associated with which theoretical explanation of globalization?","Realism — using power to spread markets","Idealism — championing freedom and democracy","Mercantilism — controlling colonial trade","Liberalism — forming international organizations","B","Woodrow Wilson championed American welfare during WWI through freedom and democracy — making him the key figure associated with Idealism in globalization theory."
"What does the MWS theory describe as the modern extension of classical imperialism?","The capitalist-imperialist approach using hard power over developing and less developed countries","The spread of democratic governance across developing nations","The formation of TNCs as drivers of economic growth","The formation of GATT and WTO","A","The Modern World System theory describes the modern extension of classical imperialism as the practice of the capitalist-imperialist approach by countries with immense resources using hard power over developing countries."
"What is a key observation of Angrist et al. (2021) about countries' economic strengths?","Most countries have unique and special primary sources of economic growth","Developed economies have diversified strengths across all sectors","Countries specialize based on government command planning","Countries with similar topography always share the same industries","A","Angrist et al. (2021) observe that most countries have unique and special primary sources of economic growth — and notably even countries with the same topography do NOT share the same industries."
"Which correctly pairs the type of economy with a country example from the reviewer?","Philippines — command economy","China (communist period) — mixed economy","Democratic countries — command economy","Single-party controlled countries — command economy","D","Single-party controlled countries usually practice command economy — where a central economic planning body handles all economic decisions. Democratic countries usually have systems based on individual freedom."
"What does Political Globalization primarily refer to?","The intensification and increasing interrelations among nations in the world","The dominance of Western political ideologies worldwide","The formation of international courts and judicial systems","The unification of all nations under one government","A","Political Globalization is the intensification and increasing level of interrelations among nations — raising issues of state sovereignty intergovernmental organizations and prospects for regional and international governance."
"Which of the following is NOT listed as an issue raised by Political Globalization?","State sovereignty","Prospects for regional and international governance","Universal adoption of democracy","Growing implications of intergovernmental organizations","C","Political Globalization raises issues of state sovereignty growing implications of intergovernmental organizations and prospects for regional and international governance. Universal adoption of democracy is not listed."
"What is Global Governance defined as in the reviewer?","A world government with authority to enforce global law","The dominance of powerful states over weaker ones","Domestic institutions and governments solving large-scale problems and public-policy issues at a global level","The collective decisions of the UN Security Council","C","Global Governance refers to domestic institutions and governments on how large-scale problems and public-policy issues are being solved at a global level — involving states national and regional bodies."
"Which of the following is cited as an example of Global Governance?","NATO","IMF","EU","WTO","D","The reviewer cites UN WTO and WHO as examples of Global Governance — organizations bounded by consensus and agreements involving management authority cooperation and mechanisms to attain certain goals. WTO is listed; IMF EU and NATO are not in this specific list."
"The Jurisdiction Gap in Global Governance refers to which problem?","Uneven distribution of authority between rich and poor countries","Poor countries receiving less attention due to contributory constraints","Lack of authority to take action on problems affecting key sectors","Disagreement among members on issues harmful to their interest","B","The Jurisdiction Gap is the lack of authority to take action on problems affecting key sectors — requiring the creation of power and jurisdiction for governments and organizations confronting issues like unemployment human rights peace and crimes."
"Which gap describes the issue between rich and poor countries due to uneven distribution of authority and control?","Jurisdiction Gap","Participation Gap","Incentive Gap","Governance Gap","C","The Incentive Gap is the issue between rich and poor countries due to uneven distribution of authority and control over decisions and policies — where poor countries receive less attention due to contributory constraints."
"The Participation Gap is best illustrated by which example from the reviewer?","The UN Security Council's veto power","NATO's collective defense mandate","Developing nations lacking IMF voting power","WTO members disagreeing on agricultural policies","D","The Participation Gap is illustrated by WTO members disagreeing on agricultural policies — showing how almost all international organizations face the problem of consensus in decision-making where member states sometimes disagree on issues harmful to their interest."
"According to Udayansakar (2012) what are the TWO dimensions of a political system?","Federalism vs. Unitarism and Left vs. Right","Individualism vs. Collectivism and Democratic vs. Totalitarian","Unilateralism vs. Multilateralism and Geopolitics vs. Governance","Liberalism vs. Conservatism and Monarchy vs. Republic","B","According to Udayansakar (2012) the two dimensions of a political system are Individualism vs. Collectivism and Democratic vs. Totalitarian."
"Which element of Individualism involves the idea that individuals like the state have sovereignty?","Pursuit of economic interest","Collective self-determination","Individual freedom and self-expression","Social stratification","C","Individual freedom and self-expression is one of the two elements of Individualism — where individuals like the state have sovereignty. The other element is the pursuit of economic interest."
"Who famously introduced Individualism in 'The Wealth of the Nation'?","Adam Smith","John Locke","Karl Marx","Plato","A","Individualism was famously introduced by Adam Smith in 'The Wealth of the Nation' — arguing that individual pursuit of economic interest is best achieved when people are free to do as they choose."
"What is the core belief of Collectivism regarding the state?","The state should minimize its role in economic affairs","The state should protect individual rights above all","The state as primary economic manager views collective action as the best strategy","The state should open markets to global competition","C","Collectivism stresses the importance of collective goals over individual freedom and interests. The state as primary economic manager views collective action as the best strategy for the collective good."
"Plato's view in Collectivism holds that society must sacrifice for the good of the majority and that which structure must be built?","Rule of law","Federal governance","Separation of powers","Social stratification","D","Plato believed society must sacrifice for the good of the majority and that social stratification must be built for proper governance — a key idea in the Collectivist tradition."
"Which is cited as a common example of Collectivism in the reviewer?","Socialist nationalism","Federalism","Theocracy","Liberal democracy","A","Socialist nationalism is cited as a common example of Collectivism — it restricts economic freedom and distributes wealth to the working class."
"How does modern Democracy primarily practice political representation?","Through direct voting on all legislation by citizens","Individuals periodically elect someone to represent them in government","Through hereditary transfer of political power","Through appointment of leaders by military authority","B","Modern democratic practice involves representation — individuals periodically elect someone to represent them in government and elected officials are accountable for their actions in managing the state."
"According to Weson (1990) how many common practices define an ideal representative democracy?","6","9","8","7","B","Weson (1990) lists 9 common practices of an ideal representative democracy including freedom of expression regular elections universal adult suffrage independent judiciary and others."
"Which of the following is listed as a practice of an ideal representative democracy by Weson (1990)?","Lifetime appointments for judges","Nonpolitical and nonpartisan police force","Mandatory government service","Single-party representation in legislature","B","A nonpolitical and nonpartisan police force is one of Weson's (1990) 9 common practices of an ideal representative democracy — along with freedom of expression regular elections universal adult suffrage independent judiciary and public access to information."
"Which of the following is NOT a practice listed under Weson's (1990) ideal representative democracy?","Freedom of media and press","Mandatory participation in all referendums","Universal adult suffrage","Specific and limited terms for elected officials","B","Mandatory participation in all referendums is NOT listed by Weson (1990). His list includes freedom of expression freedom of media regular elections universal adult suffrage limited terms independent judiciary nonpartisan police and public access to information."
"Totalitarianism is best described as which of the following?","A system that promotes individual rights with strong central oversight","A system where economic freedom is guaranteed but political rights are limited","A system where no fair elections civil liberties or freedom of expression are recognized","A system where a coalition of parties shares power","C","Totalitarianism is the pure opposite of democracy — society and citizens have no right and freedom of expression it does not recognize fair elections media and civil liberties and decision-making is exclusive to a single party or ruler."
"Which form of Totalitarianism governs based on Islamic religious principles?","Communist","Tribal","Right-wing","Theocratic","D","Theocratic totalitarianism is governed based on religious principles of Islam — with Iran and Saudi Arabia cited as examples."
"Which form of Totalitarianism permits economic freedom but restricts political rights?","Right-wing","Theocratic","Tribal","Communist","A","Right-wing totalitarianism permits economic freedom but restricts political rights. South Korea and Taiwan in the 1970s are cited as examples."
"China Cuba and North Korea are cited as examples of which form of Totalitarianism?","Communist","Tribal","Right-wing","Theocratic","A","China Cuba and North Korea are cited as examples of Communist totalitarianism — which denies basic rights and civil liberties."
"Tribal totalitarianism refers to which of the following?","A system governed by religious principles","A system that restricts political rights while allowing economic freedom","A system where one tribal group monopolizes political power","A system where a single political party denies civil liberties","C","Tribal totalitarianism is defined as a system where one tribal group monopolizes political power — cited as occurring in African states."
